2022-08-19 00:00:00+00,2022,8,19,0,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,24538,177.83,168.06,135.99,179.18
2022-08-19 01:00:00+00,2022,8,19,1,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,23274.416,168.06,135.99,115.51,178.2
2022-08-19 02:00:00+00,2022,8,19,2,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,22362.5,135.99,115.51,110,177.6
2022-08-19 03:00:00+00,2022,8,19,3,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,21764.666,115.51,110,90,176.57
2022-08-19 04:00:00+00,2022,8,19,4,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,21695.834,110,90,91.62,177.29
2022-08-19 05:00:00+00,2022,8,19,5,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,21855.084,90,91.62,92.92,177.29
2022-08-19 06:00:00+00,2022,8,19,6,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,23174.75,91.62,92.92,147,178.2
2022-08-19 07:00:00+00,2022,8,19,7,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,24429.666,92.92,147,150.66,175
2022-08-19 08:00:00+00,2022,8,19,8,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,24882.334,147,150.66,150,171.08
2022-08-19 09:00:00+00,2022,8,19,9,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,25828.584,150.66,150,116.1,170
2022-08-19 10:00:00+00,2022,8,19,10,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,26877.084,150,116.1,90,159.51
2022-08-19 11:00:00+00,2022,8,19,11,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,27317.25,116.1,90,90,150
2022-08-19 12:00:00+00,2022,8,19,12,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,27857.584,90,90,106.84,155.41
2022-08-19 13:00:00+00,2022,8,19,13,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,28385.166,90,106.84,120,159.92
2022-08-19 14:00:00+00,2022,8,19,14,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,28518.834,106.84,120,117.99,151.66
2022-08-19 15:00:00+00,2022,8,19,15,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,27725.666,120,117.99,130,133.4
2022-08-19 16:00:00+00,2022,8,19,16,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,27542.334,117.99,130,137.07,120
2022-08-19 17:00:00+00,2022,8,19,17,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,27305.416,130,137.07,139.32,121.87
2022-08-19 18:00:00+00,2022,8,19,18,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,27358.584,137.07,139.32,150,150.4
2022-08-19 19:00:00+00,2022,8,19,19,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,27280,139.32,150,167.6,169.66
2022-08-19 20:00:00+00,2022,8,19,20,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,27350.834,150,167.6,197.32,186.49
2022-08-19 21:00:00+00,2022,8,19,21,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,28347.334,167.6,197.32,230.18,230
2022-08-19 22:00:00+00,2022,8,19,22,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,27325.916,197.32,230.18,200,223.01
2022-08-19 23:00:00+00,2022,8,19,23,4,f,37317.8,153744.75,117226.77,166382.2,29455.1,8199.574,166670.11,25364.25,230.18,200,172.28,187
2022-08-20 00:00:00+00,2022,8,20,0,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,24405.666,200,172.28,179.18,205.41
2022-08-20 01:00:00+00,2022,8,20,1,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,23291.166,172.28,179.18,178.2,193.27
2022-08-20 02:00:00+00,2022,8,20,2,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,22310.334,179.18,178.2,177.6,189.31
2022-08-20 03:00:00+00,2022,8,20,3,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,21682.416,178.2,177.6,176.57,185
2022-08-20 04:00:00+00,2022,8,20,4,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,21461.084,177.6,176.57,177.29,181.94
2022-08-20 05:00:00+00,2022,8,20,5,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,21651.75,176.57,177.29,177.29,180.06
2022-08-20 06:00:00+00,2022,8,20,6,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,22874.334,177.29,177.29,178.2,181.66
2022-08-20 07:00:00+00,2022,8,20,7,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,23990.666,177.29,178.2,175,181.43
2022-08-20 08:00:00+00,2022,8,20,8,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,24659,178.2,175,171.08,175.51
2022-08-20 09:00:00+00,2022,8,20,9,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,26033.166,175,171.08,170,175.06
2022-08-20 10:00:00+00,2022,8,20,10,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,26988.584,171.08,170,159.51,134.98
2022-08-20 11:00:00+00,2022,8,20,11,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,27514.5,170,159.51,150,105
2022-08-20 12:00:00+00,2022,8,20,12,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,27999.416,159.51,150,155.41,107
2022-08-20 13:00:00+00,2022,8,20,13,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,28636.5,150,155.41,159.92,105
2022-08-20 14:00:00+00,2022,8,20,14,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,28735.084,155.41,159.92,151.66,92.92
2022-08-20 15:00:00+00,2022,8,20,15,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,27968.5,159.92,151.66,133.4,78.1
2022-08-20 16:00:00+00,2022,8,20,16,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,27736.916,151.66,133.4,120,71.03
2022-08-20 17:00:00+00,2022,8,20,17,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,27872.334,133.4,120,121.87,25.09
2022-08-20 18:00:00+00,2022,8,20,18,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,27963.916,120,121.87,150.4,57.25
2022-08-20 19:00:00+00,2022,8,20,19,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,28068.416,121.87,150.4,169.66,74
2022-08-20 20:00:00+00,2022,8,20,20,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,27940.916,150.4,169.66,186.49,145
2022-08-20 21:00:00+00,2022,8,20,21,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,28661.334,169.66,186.49,230,182.66
2022-08-20 22:00:00+00,2022,8,20,22,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,27263.666,186.49,230,223.01,182.68
2022-08-20 23:00:00+00,2022,8,20,23,5,f,36273.9,87745.76,111920.59,166813.9,29476,8050.025,233353.22,25408.416,230,223.01,187,177.02
2022-08-21 00:00:00+00,2022,8,21,0,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,24585.834,223.01,187,205.41,207.9
2022-08-21 01:00:00+00,2022,8,21,1,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,23461.834,187,205.41,193.27,185
2022-08-21 02:00:00+00,2022,8,21,2,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,22276.75,205.41,193.27,189.31,171.61
2022-08-21 03:00:00+00,2022,8,21,3,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,21611.416,193.27,189.31,185,150
2022-08-21 04:00:00+00,2022,8,21,4,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,21256.166,189.31,185,181.94,145.71
2022-08-21 05:00:00+00,2022,8,21,5,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,21103.416,185,181.94,180.06,153.3
2022-08-21 06:00:00+00,2022,8,21,6,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,21371.584,181.94,180.06,181.66,183
2022-08-21 07:00:00+00,2022,8,21,7,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,21570.334,180.06,181.66,181.43,209.56
2022-08-21 08:00:00+00,2022,8,21,8,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,22230.75,181.66,181.43,175.51,205
2022-08-21 09:00:00+00,2022,8,21,9,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,23848,181.43,175.51,175.06,185.84
2022-08-21 10:00:00+00,2022,8,21,10,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,25140.5,175.51,175.06,134.98,149.99
2022-08-21 11:00:00+00,2022,8,21,11,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,25712.666,175.06,134.98,105,125
2022-08-21 12:00:00+00,2022,8,21,12,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,26284.666,134.98,105,107,132.09
2022-08-21 13:00:00+00,2022,8,21,13,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,26996.25,105,107,105,160
2022-08-21 14:00:00+00,2022,8,21,14,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,27187.584,107,105,92.92,159.06
2022-08-21 15:00:00+00,2022,8,21,15,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,26632.584,105,92.92,78.1,140.9
2022-08-21 16:00:00+00,2022,8,21,16,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,26350.75,92.92,78.1,71.03,140
2022-08-21 17:00:00+00,2022,8,21,17,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,26439.334,78.1,71.03,25.09,137.83
2022-08-21 18:00:00+00,2022,8,21,18,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,26790.5,71.03,25.09,57.25,175
2022-08-21 19:00:00+00,2022,8,21,19,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,26961.166,25.09,57.25,74,207.9
2022-08-21 20:00:00+00,2022,8,21,20,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,27029.416,57.25,74,145,223.5
2022-08-21 21:00:00+00,2022,8,21,21,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,28022,74,145,182.66,250
2022-08-21 22:00:00+00,2022,8,21,22,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,26751.834,145,182.66,182.68,229.99
2022-08-21 23:00:00+00,2022,8,21,23,6,f,28069.9,126823.734,115003.31,166670,29123.5,7536.238,168009.28,24996.416,182.66,182.68,177.02,209.66
2022-08-22 00:00:00+00,2022,8,22,0,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,23822,182.68,177.02,207.9,192.67
2022-08-22 01:00:00+00,2022,8,22,1,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,22436,177.02,207.9,185,174.74
2022-08-22 02:00:00+00,2022,8,22,2,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,21484.416,207.9,185,171.61,150
2022-08-22 03:00:00+00,2022,8,22,3,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,20808.75,185,171.61,150,148.6
2022-08-22 04:00:00+00,2022,8,22,4,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,20338.666,171.61,150,145.71,150
2022-08-22 05:00:00+00,2022,8,22,5,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,20051.834,150,145.71,153.3,155
2022-08-22 06:00:00+00,2022,8,22,6,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,20218.834,145.71,153.3,183,180.44
2022-08-22 07:00:00+00,2022,8,22,7,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,20000.75,153.3,183,209.56,184.84
2022-08-22 08:00:00+00,2022,8,22,8,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,20164.666,183,209.56,205,182.8
2022-08-22 09:00:00+00,2022,8,22,9,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,21484.5,209.56,205,185.84,157.7
2022-08-22 10:00:00+00,2022,8,22,10,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,22783.334,205,185.84,149.99,159
2022-08-22 11:00:00+00,2022,8,22,11,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,23703.5,185.84,149.99,125,162.75
2022-08-22 12:00:00+00,2022,8,22,12,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,24489.084,149.99,125,132.09,169.84
2022-08-22 13:00:00+00,2022,8,22,13,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,25437.334,125,132.09,160,184.84
2022-08-22 14:00:00+00,2022,8,22,14,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,26089.584,132.09,160,159.06,185.04
2022-08-22 15:00:00+00,2022,8,22,15,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,25673.5,160,159.06,140.9,180.19
2022-08-22 16:00:00+00,2022,8,22,16,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,25406.75,159.06,140.9,140,170.07
2022-08-22 17:00:00+00,2022,8,22,17,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,25371.084,140.9,140,137.83,170
2022-08-22 18:00:00+00,2022,8,22,18,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,25614,140,137.83,175,182.74
2022-08-22 19:00:00+00,2022,8,22,19,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,25803.584,137.83,175,207.9,206.4
2022-08-22 20:00:00+00,2022,8,22,20,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,26142.584,175,207.9,223.5,235.51
2022-08-22 21:00:00+00,2022,8,22,21,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,27609.75,207.9,223.5,250,250
2022-08-22 22:00:00+00,2022,8,22,22,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,27266.5,223.5,250,229.99,239.18
2022-08-22 23:00:00+00,2022,8,22,23,0,f,32730.9,187048.7,112288.32,166355,29512.2,8141.081,173952.77,25737.666,250,229.99,209.66,217.97
2022-08-23 00:00:00+00,2022,8,23,0,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,24392.666,229.99,209.66,192.67,215.58
2022-08-23 01:00:00+00,2022,8,23,1,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,22971.5,209.66,192.67,174.74,209.56
2022-08-23 02:00:00+00,2022,8,23,2,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,21975.084,192.67,174.74,150,210.06
2022-08-23 03:00:00+00,2022,8,23,3,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,21502.584,174.74,150,148.6,208.23
2022-08-23 04:00:00+00,2022,8,23,4,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,21308.916,150,148.6,150,208.01
2022-08-23 05:00:00+00,2022,8,23,5,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,21690.334,148.6,150,155,200
2022-08-23 06:00:00+00,2022,8,23,6,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,23615.334,150,155,180.44,183.91
2022-08-23 07:00:00+00,2022,8,23,7,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,25189.584,155,180.44,184.84,207.74
2022-08-23 08:00:00+00,2022,8,23,8,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,26239.25,180.44,184.84,182.8,208.14
2022-08-23 09:00:00+00,2022,8,23,9,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,27887.084,184.84,182.8,157.7,200.99
2022-08-23 10:00:00+00,2022,8,23,10,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,28947.084,182.8,157.7,159,151.17
2022-08-23 11:00:00+00,2022,8,23,11,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,29808.666,157.7,159,162.75,147.6
2022-08-23 12:00:00+00,2022,8,23,12,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,30528.666,159,162.75,169.84,148.5
2022-08-23 13:00:00+00,2022,8,23,13,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,31391.75,162.75,169.84,184.84,160.6
2022-08-23 14:00:00+00,2022,8,23,14,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,31568.75,169.84,184.84,185.04,150
2022-08-23 15:00:00+00,2022,8,23,15,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,30997.334,184.84,185.04,180.19,140.35
2022-08-23 16:00:00+00,2022,8,23,16,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,30795.25,185.04,180.19,170.07,140.07
2022-08-23 17:00:00+00,2022,8,23,17,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,30785.084,180.19,170.07,170,143.98
2022-08-23 18:00:00+00,2022,8,23,18,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,30513,170.07,170,182.74,148
2022-08-23 19:00:00+00,2022,8,23,19,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,30284.666,170,182.74,206.4,204.86
2022-08-23 20:00:00+00,2022,8,23,20,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,30166.584,182.74,206.4,235.51,220.78
2022-08-23 21:00:00+00,2022,8,23,21,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,31229.5,206.4,235.51,250,236.79
2022-08-23 22:00:00+00,2022,8,23,22,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,29666.916,235.51,250,239.18,223.24
2022-08-23 23:00:00+00,2022,8,23,23,1,f,38014.9,130540.43,102361.625,166111.5,28368.8,7790.211,284336.06,27570.334,250,239.18,217.97,218.69
2022-08-24 00:00:00+00,2022,8,24,0,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,26366.584,239.18,217.97,215.58,201.27
2022-08-24 01:00:00+00,2022,8,24,1,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,24990.5,217.97,215.58,209.56,155
2022-08-24 02:00:00+00,2022,8,24,2,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,23991.916,215.58,209.56,210.06,152
2022-08-24 03:00:00+00,2022,8,24,3,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,23388.25,209.56,210.06,208.23,151
2022-08-24 04:00:00+00,2022,8,24,4,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,23066.584,210.06,208.23,208.01,148.1
2022-08-24 05:00:00+00,2022,8,24,5,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,23188.334,208.23,208.01,200,143.98
2022-08-24 06:00:00+00,2022,8,24,6,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,24682.834,208.01,200,183.91,152
2022-08-24 07:00:00+00,2022,8,24,7,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,26295.5,200,183.91,207.74,180.33
2022-08-24 08:00:00+00,2022,8,24,8,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,27268.334,183.91,207.74,208.14,180.83
2022-08-24 09:00:00+00,2022,8,24,9,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,28777.5,207.74,208.14,200.99,191.23
2022-08-24 10:00:00+00,2022,8,24,10,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,30000.5,208.14,200.99,151.17,154
2022-08-24 11:00:00+00,2022,8,24,11,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,30814.084,200.99,151.17,147.6,140.35
2022-08-24 12:00:00+00,2022,8,24,12,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,31859.75,151.17,147.6,148.5,140.35
2022-08-24 13:00:00+00,2022,8,24,13,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,32651.166,147.6,148.5,160.6,150
2022-08-24 14:00:00+00,2022,8,24,14,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,32795.75,148.5,160.6,150,143.1
2022-08-24 15:00:00+00,2022,8,24,15,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,32086,160.6,150,140.35,140.35
2022-08-24 16:00:00+00,2022,8,24,16,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,31876.166,150,140.35,140.07,133.1
2022-08-24 17:00:00+00,2022,8,24,17,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,31839.584,140.35,140.07,143.98,133.1
2022-08-24 18:00:00+00,2022,8,24,18,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,31622.75,140.07,143.98,148,145.99
2022-08-24 19:00:00+00,2022,8,24,19,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,31243.5,143.98,148,204.86,155.36
2022-08-24 20:00:00+00,2022,8,24,20,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,30829.084,148,204.86,220.78,203.12
2022-08-24 21:00:00+00,2022,8,24,21,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,31695.916,204.86,220.78,236.79,209.26
2022-08-24 22:00:00+00,2022,8,24,22,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,30059.834,220.78,236.79,223.24,201.27
2022-08-24 23:00:00+00,2022,8,24,23,2,f,37140.6,101921.336,93752.93,165951,28097.3,7562.884,330294.7,27985.916,236.79,223.24,218.69,180
