precipitaciones,velocidad_media_viento,velocidad_maxima_viento,direccion_media_viento,direccion_maxima_viento,humedad_relativa,insolacion,presion,temperatura_suelo,temperatura,temperatura_minima,temperatura_maxima,visibilidad,recorrido_viento,nieve,energia_generada
0.44,6.0,0,130.91,0,88.79,0,0,72.5,72.5,79.3,67.4,8.8,0.0,0.0,16861
0.68,6.1,0,154.35,0,91.92,0,0,71.5,71.5,76.6,67.7,7.4,0.0,0.0,8662
0.0,10.2,0,241.74,0,78.37,0,0,72.5,72.5,81.9,65.7,9.9,0.0,0.0,25153
0.0,10.6,0,206.25,0,77.34,0,0,71.4,71.4,81.5,63.4,9.5,0.0,0.0,26766
0.38,7.8,0,125.25,0,76.54,0,0,69.4,69.4,81.2,57.8,9.3,0.0,0.0,24008
0.15,7.0,0,232.27,0,86.77,0,0,68.9,68.9,80.0,63.5,8.5,0.0,0.0,16497
0.01,5.2,0,105.0,0,87.45,0,0,68.8,68.8,78.6,62.6,7.5,0.0,0.0,16829
1.0,3.9,0,65.5,0,92.7,0,0,68.0,68.0,70.8,65.4,7.3,0.0,0.0,7678
0.14,7.7,0,146.82,0,86.84,0,0,70.5,70.5,78.4,65.1,9.0,0.0,0.0,20726
0.15,8.5,0,97.83,0,86.11,0,0,71.2,71.2,78.9,64.7,7.7,0.0,0.0,19093
0.12,6.7,0,144.13,0,87.94,0,0,71.1,71.1,80.7,65.4,9.4,0.0,0.0,16339
0.2,4.9,0,210.43,0,90.67,0,0,71.5,71.5,77.2,67.9,9.5,0.0,0.0,10162
0.0,6.0,0,167.83,0,80.8,0,0,73.9,73.9,85.6,65.1,9.9,0.0,0.0,24085
0.11,4.8,0,132.17,0,88.0,0,0,73.3,73.3,85.6,66.6,7.0,0.0,0.0,19330
0.01,9.5,0,135.65,0,85.98,0,0,74.9,74.9,83.5,68.5,9.9,0.0,0.0,19027
0.19,10.7,0,218.65,0,84.14,0,0,74.7,74.7,82.7,69.4,9.6,0.0,0.0,16330
0.01,6.2,0,262.09,0,80.33,0,0,74.2,74.2,83.1,67.4,9.9,0.0,0.0,19685
0.73,6.3,0,135.0,0,92.2,0,0,71.6,71.6,78.5,66.9,9.2,0.0,0.0,16115
0.27,6.5,0,113.48,0,88.07,0,0,75.0,75.0,81.7,69.9,8.9,0.0,0.0,18962
0.0,5.1,0,126.96,0,82.46,0,0,76.6,76.6,88.5,68.7,8.3,0.0,0.0,25635
0.0,7.2,0,171.3,0,76.85,0,0,75.4,75.4,88.5,64.6,9.1,0.0,0.0,26012
0.0,7.2,0,293.91,0,79.96,0,0,75.4,75.4,84.1,68.5,9.9,0.0,0.0,25272
0.0,9.3,0,309.17,0,67.57,0,0,70.2,70.2,79.9,60.3,9.9,0.0,0.0,21275
0.0,4.9,0,160.21,0,78.41,0,0,64.5,64.5,77.3,53.1,9.7,0.0,0.0,26965
0.0,5.9,0,98.1,0,79.39,0,0,65.6,65.6,79.4,52.8,9.1,0.0,0.0,26796
0.0,4.8,0,86.25,0,79.19,0,0,66.4,66.4,81.3,54.5,8.6,0.0,0.0,27307
0.0,5.0,0,100.0,0,84.24,0,0,69.0,69.0,77.1,60.9,9.9,0.0,0.0,10593
0.12,5.4,0,147.08,0,84.94,0,0,73.6,73.6,82.0,68.0,9.7,0.0,0.0,15596
0.0,5.5,0,175.09,0,84.68,0,0,73.7,73.7,82.3,67.3,8.5,0.0,0.0,25019
1.45,4.6,0,99.05,0,96.07,0,0,71.4,71.4,75.6,70.0,8.6,0.0,0.0,5941
0.15,5.8,0,110.45,0,90.87,0,0,71.0,71.0,77.9,67.5,8.0,0.0,0.0,15189
0.33,5.7,0,210.56,0,90.19,0,0,70.6,70.6,78.7,66.0,9.3,0.0,0.0,13390
0.0,6.3,0,98.89,0,80.77,0,0,66.2,66.2,71.2,60.8,9.9,0.0,0.0,16472
0.01,6.5,0,100.87,0,81.61,0,0,63.7,63.7,71.0,58.2,9.9,0.0,0.0,22088
2.63,5.4,0,211.19,0,96.42,0,0,64.5,64.5,67.7,61.7,4.1,0.0,0.0,3725
0.0,11.5,0,343.75,0,79.23,0,0,65.9,65.9,72.3,59.8,7.6,0.0,0.0,20677
0.0,5.6,0,112.86,0,76.41,0,0,59.3,59.3,64.2,55.4,9.9,0.0,0.0,13694
0.0,5.5,0,50.0,0,62.94,0,0,55.3,55.3,65.8,46.8,9.9,0.0,0.0,27357
0.0,6.6,0,78.89,0,70.22,0,0,54.0,54.0,65.0,45.9,9.9,45.3,0.0,25312
0.0,8.3,0,192.17,0,77.16,0,0,54.2,54.2,69.0,42.0,9.3,0.0,0.0,24283
0.0,5.1,0,104.09,0,77.15,0,0,59.3,59.3,70.6,50.2,9.4,0.0,0.0,18668
0.28,5.7,0,134.17,0,92.36,0,0,59.1,59.1,63.3,57.1,9.1,0.0,0.0,5033
1.79,6.4,0,148.83,0,96.49,0,0,59.7,59.7,62.9,57.3,5.6,0.0,0.0,3881
0.0,6.0,0,176.9,0,87.51,0,0,64.9,64.9,74.4,59.5,7.9,0.0,0.0,18080
0.0,6.2,0,89.57,0,87.34,0,0,65.3,65.3,73.5,60.2,8.3,0.0,0.0,13988
0.11,9.7,0,158.7,0,85.49,0,0,68.5,68.5,77.6,62.7,9.1,0.0,0.0,18077
0.94,10.6,0,272.92,0,94.26,0,0,57.0,57.0,66.6,49.9,7.7,49.3,0.0,5259
0.0,4.1,0,165.5,0,79.59,0,0,54.9,54.9,68.3,43.6,8.9,47.7,0.0,26019
0.0,10.2,0,265.0,0,77.17,0,0,57.5,57.5,74.8,45.2,9.9,46.8,0.0,25499
0.0,9.7,0,277.08,0,63.85,0,0,52.8,52.8,62.4,43.5,9.9,44.9,0.0,26324
0.0,5.3,0,91.74,0,79.07,0,0,50.2,50.2,64.2,38.1,8.8,41.3,0.0,25468
0.0,4.0,0,34.09,0,83.05,0,0,52.0,52.0,66.4,39.4,8.8,0.0,0.0,22906
0.0,5.3,0,187.27,0,80.96,0,0,56.4,56.4,71.0,45.2,8.9,44.6,0.0,25639
0.0,4.9,0,63.0,0,86.42,0,0,58.0,58.0,72.1,48.1,7.6,0.0,0.0,24562
0.0,6.9,0,212.95,0,79.19,0,0,60.7,60.7,76.7,49.5,7.1,0.0,0.0,24589
0.0,8.0,0,225.22,0,77.64,0,0,63.4,63.4,79.4,50.7,9.9,0.0,0.0,21829
0.0,5.0,0,95.88,0,85.76,0,0,61.4,61.4,67.1,57.4,9.0,0.0,0.0,7893
1.0,5.2,0,128.13,0,97.0,0,0,61.5,61.5,63.7,58.6,6.0,0.0,0.0,2571
1.27,5.6,0,61.74,0,94.29,0,0,64.7,64.7,70.3,62.4,7.0,0.0,0.0,5514
0.01,6.7,0,90.83,0,90.13,0,0,66.9,66.9,75.6,62.2,9.1,0.0,0.0,9704
0.0,12.8,0,279.55,0,83.28,0,0,62.9,62.9,69.6,52.6,7.3,0.0,0.0,24823
0.0,6.3,0,210.0,0,69.4,0,0,56.8,56.8,73.8,42.0,9.9,45.7,0.0,23496
0.0,12.1,0,128.33,0,84.16,0,0,58.1,58.1,76.0,44.2,9.7,0.0,0.0,18177
0.0,14.1,0,313.13,0,75.2,0,0,53.6,53.6,58.5,46.1,8.4,42.4,0.0,13269
0.0,6.3,0,197.0,0,54.95,0,0,47.6,47.6,59.7,37.5,9.9,34.9,0.0,24543
0.0,5.9,0,83.68,0,77.65,0,0,47.1,47.1,63.3,32.8,9.9,0.0,0.0,23990
0.0,6.4,0,58.95,0,80.86,0,0,53.4,53.4,70.6,39.8,9.8,0.0,0.0,22364
0.0,4.8,0,97.92,0,83.2,0,0,57.0,57.0,75.7,46.4,6.6,0.0,0.0,23667
0.0,5.8,0,96.82,0,83.73,0,0,61.6,61.6,77.6,50.1,9.2,0.0,0.0,17814
0.0,7.1,0,60.91,0,85.27,0,0,62.0,62.0,75.0,53.4,7.1,0.0,0.0,22900
0.13,6.2,0,73.04,0,87.1,0,0,62.3,62.3,74.4,53.8,9.9,0.0,0.0,18426
0.27,5.7,0,123.61,0,89.72,0,0,62.0,62.0,74.2,53.4,7.1,0.0,0.0,10639
0.57,5.9,0,68.5,0,94.43,0,0,62.3,62.3,67.9,58.8,7.8,0.0,0.0,7307
0.02,5.7,0,122.13,0,89.29,0,0,61.2,61.2,71.3,56.9,8.5,0.0,0.0,16975
0.0,3.5,0,80.0,0,86.34,0,0,62.8,62.8,75.1,55.7,7.8,0.0,0.0,18904
1.13,5.2,0,111.25,0,99.06,0,0,63.1,63.1,67.0,57.2,6.4,0.0,0.0,1725
2.26,13.0,0,185.65,0,77.5,0,0,71.1,71.1,80.6,64.3,7.9,0.0,0.0,12920
0.02,14.3,0,317.5,0,67.05,0,0,51.6,51.6,62.4,43.3,9.8,39.2,0.0,23241
0.0,6.8,0,127.83,0,76.22,0,0,44.8,44.8,53.6,34.3,9.9,38.3,0.0,16375
0.15,17.1,0,225.71,0,68.83,0,0,52.5,52.5,66.6,43.9,8.9,37.0,0.0,19127
0.0,16.7,0,340.42,0,41.49,0,0,39.0,39.0,48.6,30.9,9.9,21.4,0.0,24494
0.0,7.6,0,280.42,0,50.95,0,0,42.8,42.8,60.5,28.7,9.9,23.2,0.0,23193
0.0,6.2,0,62.73,0,67.67,0,0,46.1,46.1,64.9,30.9,9.8,0.0,0.0,23028
0.0,5.1,0,38.75,0,72.91,0,0,46.8,46.8,64.9,32.4,9.9,0.0,0.0,21780
0.0,5.9,0,87.27,0,75.07,0,0,51.1,51.1,69.1,37.3,9.9,0.0,0.0,22302
0.0,4.7,0,58.33,0,87.86,0,0,53.2,53.2,65.6,41.6,9.9,0.0,0.0,9638
0.0,3.8,0,36.96,0,86.45,0,0,58.0,58.0,68.3,49.0,9.6,0.0,0.0,8075
0.01,6.4,0,93.0,0,82.63,0,0,62.1,62.1,70.2,56.0,9.7,0.0,0.0,13544
0.05,6.6,0,139.58,0,94.64,0,0,62.7,62.7,65.7,59.6,8.5,0.0,0.0,5215
1.0,5.1,0,115.0,0,96.92,0,0,67.2,67.2,72.0,64.1,7.0,0.0,0.0,4079
0.84,8.6,0,317.79,0,87.46,0,0,64.3,64.3,69.8,59.3,9.0,0.0,0.0,4968
0.0,10.9,0,327.92,0,69.2,0,0,58.6,58.6,67.0,47.3,9.9,0.0,0.0,22227
0.0,9.0,0,106.96,0,73.77,0,0,49.7,49.7,64.1,36.3,9.9,40.8,0.0,21939
0.0,13.9,0,177.27,0,73.66,0,0,55.7,55.7,67.7,47.7,9.9,46.3,0.0,11890
0.0,13.3,0,289.17,0,43.13,0,0,45.9,45.9,54.5,34.7,9.9,35.6,0.0,23383
0.0,14.3,0,217.17,0,58.34,0,0,40.3,40.3,53.3,27.9,9.8,30.9,0.0,23402
0.0,11.0,0,271.74,0,44.96,0,0,39.8,39.8,52.6,29.0,9.9,23.3,0.0,23137
0.0,7.5,0,92.5,0,60.55,0,0,40.0,40.0,57.0,27.0,9.8,39.0,0.0,22276
0.0,5.5,0,101.25,0,67.67,0,0,44.5,44.5,66.7,29.0,9.9,45.8,0.0,22276
0.0,7.6,0,97.08,0,74.95,0,0,47.9,47.9,68.0,33.4,9.9,0.0,0.0,20600
0.0,8.2,0,98.75,0,82.47,0,0,49.2,49.2,63.1,37.0,9.9,0.0,0.0,10657
0.01,14.4,0,314.58,0,68.06,0,0,45.5,45.5,52.4,36.7,9.8,32.2,0.0,22889
0.0,8.9,0,126.96,0,72.57,0,0,38.3,38.3,50.2,26.9,9.8,36.4,0.0,18478
0.23,6.9,0,155.83,0,83.79,0,0,47.8,47.8,54.3,40.5,7.6,36.1,0.0,6086
0.29,5.0,0,157.73,0,90.02,0,0,55.5,55.5,67.4,44.9,7.4,0.0,0.0,16471
0.0,6.1,0,159.13,0,78.2,0,0,47.2,47.2,62.5,34.0,8.8,0.0,0.0,19862
0.02,8.8,0,247.92,0,62.06,0,0,51.2,51.2,61.7,40.6,9.9,44.1,0.0,21489
0.21,5.9,0,95.91,0,86.97,0,0,42.7,42.7,53.7,32.6,9.1,44.7,0.0,5327
0.7,11.6,0,270.83,0,81.54,0,0,42.9,42.9,46.8,33.9,8.1,27.5,0.0,9191
0.0,11.1,0,345.0,0,67.8,0,0,30.5,30.5,35.6,27.1,9.9,18.8,0.38,4131
0.0,14.1,0,335.83,0,55.42,0,0,32.7,32.7,47.1,24.2,9.9,14.1,0.0,22268
0.0,6.6,0,114.04,0,63.26,0,0,36.1,36.1,58.0,19.5,9.9,39.6,0.0,20239
0.68,8.7,0,158.33,0,77.04,0,0,46.6,46.6,53.6,41.7,8.7,37.4,0.0,3261
0.0,12.6,0,331.67,0,73.26,0,0,40.6,40.6,47.7,34.0,9.9,28.4,0.0,20251
0.0,4.6,0,77.5,0,78.25,0,0,37.7,37.7,52.2,26.2,9.6,29.7,0.0,21539
0.0,14.9,0,272.5,0,79.83,0,0,38.2,38.2,41.7,32.7,9.8,22.5,0.0,5413
0.0,13.9,0,343.92,0,62.69,0,0,30.5,30.5,36.7,26.8,9.9,16.3,0.0,22695
0.0,9.9,0,345.0,0,63.89,0,0,37.6,37.6,53.7,28.1,9.9,19.7,0.0,16614
0.0,7.1,0,162.17,0,62.1,0,0,45.4,45.4,63.0,31.5,9.9,28.2,0.0,20124
0.0,6.7,0,75.65,0,74.36,0,0,44.1,44.1,62.0,29.4,9.8,0.0,0.0,19173
0.0,12.4,0,120.83,0,77.32,0,0,50.3,50.3,60.4,41.7,9.7,44.1,0.0,12858
0.0,8.3,0,109.57,0,77.33,0,0,53.8,53.8,63.5,44.3,9.5,0.0,0.0,20891
1.46,17.1,0,296.09,0,82.58,0,0,43.7,43.7,50.5,35.6,8.1,27.3,0.0,14472
0.0,8.1,0,154.35,0,73.3,0,0,35.4,35.4,44.9,26.8,9.9,27.8,0.0,21554
0.35,6.5,0,189.38,0,91.81,0,0,35.2,35.2,38.8,32.1,7.5,27.0,0.0,1601
0.0,9.7,0,340.0,0,84.38,0,0,36.5,36.5,41.9,31.8,9.9,24.8,0.0,16308
0.0,12.1,0,329.58,0,67.9,0,0,31.6,31.6,39.6,27.5,9.9,18.4,0.0,21889
0.0,7.6,0,68.26,0,78.58,0,0,32.3,32.3,44.7,21.0,9.5,31.8,0.0,16458
0.01,5.1,0,131.25,0,74.16,0,0,42.6,42.6,55.0,34.7,9.9,33.3,0.0,19023
0.0,13.2,0,224.9,0,70.26,0,0,42.4,42.4,56.3,28.9,7.7,29.9,0.0,21531
0.0,13.8,0,295.42,0,39.04,0,0,44.9,44.9,50.4,32.2,9.9,29.4,0.0,21871
0.0,8.0,0,104.17,0,64.67,0,0,38.1,38.1,50.2,26.4,9.9,27.1,0.69,15022
1.62,15.3,0,185.96,0,90.18,0,0,45.2,45.2,52.1,26.7,6.8,14.7,0.61,801
0.11,14.5,0,319.58,0,77.91,0,0,19.2,19.2,24.9,13.6,7.8,2.2,0.15,11417
0.0,12.5,0,280.83,0,66.96,0,0,22.1,22.1,35.1,11.9,9.7,-1.7,2.33,22111
0.0,7.6,0,88.33,0,75.2,0,0,31.9,31.9,49.8,18.6,9.9,14.9,0.0,21095
0.0,7.3,0,232.5,0,78.63,0,0,39.0,39.0,51.4,28.7,9.9,24.9,0.0,14744
0.0,8.3,0,207.08,0,72.73,0,0,43.5,43.5,55.5,35.4,9.9,29.6,0.0,20920
0.04,6.5,0,125.42,0,82.86,0,0,37.9,37.9,41.3,35.0,5.6,31.3,0.0,1496
0.04,8.5,0,113.48,0,89.46,0,0,51.1,51.1,63.2,40.6,6.6,41.2,0.0,10593
1.45,7.2,0,162.79,0,87.61,0,0,49.1,49.1,56.4,42.7,6.0,39.5,0.0,902
0.1,4.6,0,229.25,0,90.53,0,0,48.8,48.8,57.6,41.6,6.6,39.9,0.0,16826
0.0,10.8,0,288.63,0,83.4,0,0,41.3,41.3,45.4,34.5,7.5,29.5,0.0,14500
0.0,6.7,0,304.25,0,71.75,0,0,38.0,38.0,46.9,31.7,9.9,25.8,0.0,22219
0.01,10.0,0,328.29,0,79.18,0,0,38.9,38.9,44.9,33.1,9.9,27.7,0.0,3970
0.0,9.8,0,328.33,0,70.88,0,0,34.2,34.2,42.1,27.2,9.9,22.2,0.0,15914
0.17,4.8,0,141.29,0,81.34,0,0,32.9,32.9,39.0,24.2,8.7,29.9,0.69,12552
0.17,12.4,0,305.04,0,94.27,0,0,33.3,33.3,35.4,31.5,6.3,22.2,0.53,58
0.01,13.7,0,342.25,0,76.73,0,0,31.4,31.4,35.0,26.9,9.9,17.3,0.32,17049
0.0,6.8,0,212.38,0,70.9,0,0,31.9,31.9,41.8,23.4,9.9,17.7,0.0,22314
0.06,4.5,0,229.0,0,89.45,0,0,34.2,34.2,36.8,29.8,7.2,30.9,0.0,2075
0.0,8.5,0,343.46,0,89.91,0,0,35.9,35.9,43.5,27.9,9.3,25.0,0.0,22657
0.0,4.5,0,285.42,0,72.88,0,0,36.3,36.3,48.6,25.6,8.8,20.8,0.0,20342
0.0,7.5,0,226.92,0,61.76,0,0,38.9,38.9,51.5,29.6,9.5,24.4,0.0,22400
0.0,10.0,0,176.75,0,62.69,0,0,36.8,36.8,46.5,26.9,9.4,31.3,0.0,10820
0.01,8.1,0,324.21,0,67.03,0,0,31.1,31.1,35.9,26.6,9.5,23.7,0.0,10064
0.0,7.8,0,279.46,0,65.83,0,0,34.0,34.0,41.5,26.2,9.9,23.0,0.23,14500
0.0,10.1,0,277.5,0,71.74,0,0,33.6,33.6,40.8,26.9,9.8,25.3,0.16,12581
0.0,4.7,0,209.21,0,66.22,0,0,38.3,38.3,49.9,26.5,9.9,34.8,0.0,9244
0.0,12.2,0,309.46,0,53.72,0,0,38.4,38.4,45.0,32.5,9.9,30.8,0.0,23498
0.02,8.8,0,334.25,0,80.69,0,0,38.1,38.1,42.9,31.3,9.9,28.0,0.0,6694
0.0,8.4,0,337.13,0,57.59,0,0,41.1,41.1,51.4,34.6,9.9,27.8,0.0,17300
0.0,10.6,0,277.38,0,46.03,0,0,35.7,35.7,44.7,30.3,9.9,23.2,0.0,23874
0.0,6.2,0,147.04,0,43.91,0,0,40.4,40.4,47.0,29.9,9.9,25.8,0.0,14355
0.52,8.0,0,142.29,0,90.5,0,0,48.3,48.3,55.8,39.5,6.8,45.8,0.0,1500
0.19,8.3,0,234.88,0,69.75,0,0,54.3,54.3,63.4,46.8,7.3,45.9,0.0,17703
0.14,11.6,0,247.29,0,70.51,0,0,48.7,48.7,59.0,35.6,9.6,28.2,0.0,15608
0.01,20.2,0,343.88,0,65.57,0,0,30.0,30.0,34.8,22.5,9.8,12.8,0.0,25029
0.0,10.2,0,347.21,0,57.67,0,0,29.1,29.1,39.3,20.1,9.9,10.6,0.0,24386
0.14,7.4,0,115.92,0,77.63,0,0,30.2,30.2,36.4,22.0,8.8,25.8,0.69,6699
0.57,5.1,0,159.83,0,94.95,0,0,34.5,34.5,36.9,30.8,4.9,25.8,0.49,7555
0.01,12.7,0,349.29,0,80.89,0,0,31.3,31.3,35.2,26.4,8.6,15.8,0.25,4676
0.0,16.6,0,339.25,0,64.71,0,0,28.3,28.3,31.4,25.1,9.2,12.5,0.15,9315
0.0,14.5,0,327.42,0,52.69,0,0,29.3,29.3,37.1,22.3,9.7,12.3,0.0,25105
0.06,6.3,0,188.25,0,54.68,0,0,34.0,34.0,40.8,20.4,9.8,17.4,0.0,8212
0.01,9.0,0,300.0,0,62.09,0,0,37.6,37.6,46.6,27.6,8.8,24.9,0.0,19382
0.26,4.8,0,162.17,0,68.0,0,0,33.9,33.9,42.1,24.1,7.7,30.6,0.74,10780
0.08,11.7,0,305.04,0,85.27,0,0,33.3,33.3,39.3,25.1,8.4,26.0,0.44,8405
0.0,7.4,0,102.17,0,71.7,0,0,38.2,38.2,48.3,23.2,9.9,34.3,0.0,23198
0.0,6.9,0,248.17,0,76.23,0,0,46.4,46.4,59.0,36.5,9.8,33.8,0.0,17955
0.0,6.4,0,136.0,0,79.61,0,0,47.2,47.2,57.3,33.3,8.8,45.8,0.0,22532
0.38,6.7,0,114.52,0,96.8,0,0,46.3,46.3,51.6,39.3,6.4,35.4,0.0,2687
0.27,6.5,0,153.42,0,96.59,0,0,35.5,35.5,37.8,34.8,6.7,30.6,0.0,2582
0.47,3.6,0,139.04,0,95.14,0,0,38.5,38.5,41.2,34.9,5.3,32.0,0.0,4073
0.06,4.2,0,135.0,0,96.48,0,0,41.6,41.6,43.1,39.8,5.6,38.5,0.0,2281
0.88,7.4,0,176.67,0,98.11,0,0,38.6,38.6,39.8,37.2,3.8,32.4,0.0,2674
0.0,13.7,0,289.58,0,87.27,0,0,29.3,29.3,38.5,20.0,9.6,11.4,0.0,25296
0.24,7.9,0,157.09,0,65.63,0,0,32.9,32.9,40.5,21.2,9.3,15.5,0.0,19743
0.92,5.9,0,224.75,0,92.48,0,0,37.6,37.6,41.0,32.4,7.4,30.0,0.0,4932
0.0,12.6,0,342.63,0,76.47,0,0,35.3,35.3,40.8,27.3,9.8,22.5,0.0,25681
0.0,8.8,0,311.79,0,59.6,0,0,31.4,31.4,41.5,24.2,9.9,15.9,0.0,25980
0.04,9.3,0,124.79,0,58.68,0,0,36.0,36.0,44.6,22.7,9.6,25.0,0.0,25027
0.33,8.9,0,219.71,0,69.63,0,0,41.8,41.8,51.6,34.3,8.1,30.0,0.0,13093
0.0,8.3,0,258.04,0,46.95,0,0,46.7,46.7,61.5,32.4,9.9,31.5,0.0,25931
0.0,9.0,0,196.38,0,53.47,0,0,48.6,48.6,65.0,30.0,9.9,42.7,0.0,25591
0.0,7.3,0,274.17,0,51.25,0,0,51.0,51.0,63.3,35.6,9.9,42.3,0.0,25795
0.73,7.2,0,178.79,0,80.4,0,0,41.9,41.9,47.8,38.0,6.7,32.9,0.0,1905
0.01,5.6,0,149.13,0,83.28,0,0,52.2,52.2,63.2,38.4,8.8,35.0,0.0,18946
0.05,12.8,0,178.25,0,76.68,0,0,62.8,62.8,68.1,53.6,9.6,0.0,0.0,16190
